Statistical profiling result from conlog-v8.log, (3625 ticks, 5 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    1.4%    0.2%  __pthread_mutex_unlock@GLIBC_2.2.5
      6    1.4%    0.2%  __pthread_mutex_lock@GLIBC_2.2.5
      4    0.9%    0.1%  cfree@GLIBC_2.2.5
      3    0.7%    0.1%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      3    0.7%    0.1%  operator new[](unsigned long)@@GLIBCXX_3.4
      3    0.7%    0.1%  __open@@GLIBC_2.2.5
      3    0.7%    0.1%  __mprotect@@GLIBC_PRIVATE
      3    0.7%    0.1%  __clock_gettime@@GLIBC_PRIVATE
      2    0.5%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      2    0.5%    0.1%  std::ostream::put(char)@@GLIBCXX_3.4
      2    0.5%    0.1%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.2%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.2%    0.0%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      1    0.2%    0.0%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.2%    0.0%  std::locale::id::_M_id() const@@GLIBCXX_3.4
      1    0.2%    0.0%  operator new[](unsigned long, std::nothrow_t const&)@@GLIBCXX_3.4
      1    0.2%    0.0%  operator new(unsigned long)@@GLIBCXX_3.4
      1    0.2%    0.0%  operator delete(void*)@@GLIBCXX_3.4
      1    0.2%    0.0%  __fmod_finite@GLIBC_2.15
      1    0.2%    0.0%  __errno_location@@GLIBC_2.2.5

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   2848   78.6%  /usr/bin/node
   2114   74.2%    /usr/bin/node
    902   42.7%      Function: ^compileFunction node:vm:308:25
    717   79.5%        Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
    700   97.6%          Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
    680   97.1%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
     20    2.9%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1114:37
     17    2.4%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1059:37
     17  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1114:37
    178   19.7%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1059:37
    178  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
     90   50.6%            LazyCompile: *Module.load node:internal/modules/cjs/loader:969:33
     88   49.4%            Function: ^Module.load node:internal/modules/cjs/loader:969:33
     55    2.6%      /usr/bin/node
      4    7.3%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      4  100.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      2   50.0%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      2   50.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      4    7.3%        Function: ^asString /home/tobias/Documentos/coderCursoBack/clase32/node_modules/date-format/lib/index.js:29:18
      4  100.0%          Function: ^timestampLevelAndCategory /home/tobias/Documentos/coderCursoBack/clase32/node_modules/log4js/lib/layouts.js:42:35
      4  100.0%            Function: ^colouredLayout /home/tobias/Documentos/coderCursoBack/clase32/node_modules/log4js/lib/layouts.js:71:24
      4    7.3%        Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      4  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      4  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      3    5.5%        Function: ^header /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/response.js:754:29
      2   66.7%          Function: ^send /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/response.js:107:25
      2  100.0%            Function: ^<anonymous> /home/tobias/Documentos/coderCursoBack/clase32/dist/routes/routes.js:75:30
      1   33.3%          Function: ^contentType /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/response.js:594:32
      1  100.0%            Function: ^send /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/response.js:107:25
      2    3.6%        LazyCompile: ~resolvePackageTargetString node:internal/modules/esm/resolve:507:36
      2  100.0%          LazyCompile: ~resolvePackageTarget node:internal/modules/esm/resolve:572:30
      2  100.0%            LazyCompile: ~resolvePackageTarget node:internal/modules/esm/resolve:572:30
      2    3.6%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      1   50.0%          LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1   50.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      2    3.6%        Function: ^expressInit /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/middleware/init.js:29:30
      2  100.0%          LazyCompile: *next /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/router/index.js:176:16
      2  100.0%            Function: ^query /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/middleware/query.js:39:24
      2    3.6%        Function: ^deprecate node:internal/util:96:19
