Statistical profiling result from sinlog-v8.log, (3690 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.2%    0.0%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)@@GLIBCXX_3.4.15
      1    0.2%    0.0%  pthread_cond_signal@@GLIBC_2.3.2
      1    0.2%    0.0%  operator new[](unsigned long, std::nothrow_t const&)@@GLIBCXX_3.4
      1    0.2%    0.0%  operator delete[](void*)@@GLIBCXX_3.4
      1    0.2%    0.0%  operator delete(void*)@@GLIBCXX_3.4
      1    0.2%    0.0%  fputc@@GLIBC_2.2.5
      1    0.2%    0.0%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      1    0.2%    0.0%  __pthread_rwlock_unlock@GLIBC_2.2.5
      1    0.2%    0.0%  __pthread_getspecific@GLIBC_2.2.5
      1    0.2%    0.0%  _IO_file_sync@@GLIBC_2.2.5
      1    0.2%    0.0%  _IO_default_xsputn@@GLIBC_2.2.5

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   2890   78.3%  /usr/bin/node
   2093   72.4%    /usr/bin/node
    902   43.1%      Function: ^compileFunction node:vm:308:25
    753   83.5%        Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
    738   98.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1059:37
    718   97.3%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
     20    2.7%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1114:37
     15    2.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1059:37
     15  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1114:37
    143   15.9%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1059:37
    143  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
    143  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:969:33
     57    2.7%      Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
     45   78.9%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      7   15.6%          Function: ~<anonymous> node:crypto:1:1
      7  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      6   13.3%          Function: ~<anonymous> node:http:1:1
      6  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      5   11.1%          Function: ~<anonymous> node:tls:1:1
      5  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    6.7%          Function: ~<anonymous> node:internal/child_process:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    6.7%          Function: ~<anonymous> node:child_process:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3    6.7%          Function: ~<anonymous> node:_http_client:1:1
      3  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    4.4%          LazyCompile: ~lazyLoadStreams node:fs:2858:25
      2  100.0%            LazyCompile: ~get ReadStream node:fs:3001:17
      2    4.4%          Function: ~<anonymous> node:internal/cluster/primary:1:1
      2  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2    4.4%          Function: ~<anonymous> node:assert:1:1
      2  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          LazyCompile: ~lazyRequire node:internal/crypto/util:67:21
      1  100.0%            LazyCompile: ~get node:crypto:287:8
      1    2.2%          Function: ~<anonymous> node:tty:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:module:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:internal/crypto/pbkdf2:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:internal/crypto/hkdf:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:dns:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:cluster:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:_tls_wrap:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:_tls_common:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:_http_server:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:_http_outgoing:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    2.2%          Function: ~<anonymous> node:_http_common:1:1
      1  100.0%            Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      7   12.3%        LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      7  100.0%          Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      7  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      5    8.8%        Function: ^compileForPublicLoader node:internal/bootstrap/loaders:246:25
      5  100.0%          Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      5  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
     55    2.6%      /usr/bin/node
      6   10.9%        Function: ^header /home/tobias/Documentos/coderCursoBack/clase32/node_modules/express/lib/response.js:754:29
